issue_title,product_id,symptoms,steps
Active Stylus (Nova Pen 2) Not Detected by TabNova 11 Pro,SKU187,"The Nova Pen 2 does not interact with the tablet screen. Writing or drawing is unresponsive, no cursor or hover effect appears when the pen is near the display, and pen shortcut buttons do not function. The tablet otherwise responds to finger touch normally.","1. Ensure the stylus is charged: Connect the Nova Pen 2 to the USB-C charger for at least 30 minutes. 
2. Check that the stylus tip is not loose or damaged. Gently tighten or replace the tip if necessary. 
3. Restart the TabNova 11 Pro by holding the power button for 10 seconds and turning it back on. 
4. Remove any screen protector or case that may interfere with the pen’s contact with the display. 
5. Go to Settings > Connected Devices > Stylus and ensure ‘Enable Stylus’ is toggled ON. 
6. Test the stylus on another compatible device (if available), or test a different stylus on the TabNova 11 Pro. 
7. If the stylus still does not work, perform a software update: Settings > System > Software Update, then restart the device. 
8. If the issue persists, contact TechMart support for further assistance or replacement options."
Keys Not Registering in Wireless Mode,SKU110,"When using the KeyStream Pro Wireless Keyboard via Bluetooth or 2.4GHz wireless, some or all keystrokes are not detected by the computer. The keyboard may work correctly when connected via USB-C cable. The keyboard's indicator lights may still be on, and the device may appear connected in the operating system.","1. Confirm the keyboard is fully charged by connecting it to a USB-C power source for at least 30 minutes. 
2. Toggle the keyboard's power switch off and then on again.
3. If using Bluetooth, remove the keyboard from your device's Bluetooth list and re-pair it:
   a. Hold the Bluetooth pairing button on the keyboard for 3 seconds until the indicator blinks.
   b. Select 'KeyStream Pro' from your computer's Bluetooth menu and reconnect.
4. If using 2.4GHz wireless, unplug the USB dongle, wait 10 seconds, and plug it back into a different USB port. Ensure the keyboard is set to 2.4GHz mode (check manual for switch location).
5. Test the keyboard on another computer or device to rule out a device-specific issue.
6. If the issue persists, reset the keyboard by holding the Fn + R keys for 5 seconds until the indicator flashes, then repeat the pairing process.
7. If none of these steps resolve the issue, contact TechMart support for further assistance."
GlideMaster MX Mouse Not Charging or Powering On,SKU109,The mouse does not turn on when the power button is pressed. The LED indicator does not light up even when connected to a charger. Attempting to use the mouse wirelessly or wired results in no response from the device or cursor movement on the computer.,"1. Ensure the USB charging cable is securely connected to both the mouse and a working USB port or charger. 
2. Inspect the charging cable and port for any visible damage or debris. Try a different USB cable and port if available. 
3. Leave the mouse connected to power for at least 30 minutes to ensure the battery is not completely depleted. 
4. Check if the LED indicator turns on or blinks while charging. If not, try charging from a different power source (e.g., wall adapter instead of a PC). 
5. After charging, press and hold the power button for 2-3 seconds to turn the mouse on. Observe if the LED indicator lights up. 
6. If the mouse still does not power on, perform a reset: locate the reset button (usually a small pinhole on the underside) and press it with a paperclip for 5 seconds. 
7. If the issue persists, the battery or internal hardware may be faulty. Contact TechMart Support for further assistance or warranty service."
FlexMount Ergo Stand Will Not Hold Set Height or Angle,SKU153,"The stand gradually collapses or lowers after adjusting to the desired height or angle. Devices placed on the stand may slowly tilt downwards or slide, even if under the 5 kg weight limit. The adjustment joints feel loose or do not lock firmly in place.","1. Remove any device from the stand and ensure the total weight is under 5 kg.
2. Inspect all adjustment joints for visible debris or obstructions; gently clean with a dry cloth if needed.
3. Tighten the adjustment knobs or screws at each joint using the appropriate tool (usually a hex key or screwdriver, as supplied). Do not overtighten.
4. Set the stand to the desired height (between 5 and 28 cm) and angle (between 15 and 45 degrees), then gently test if the position holds by applying light downward pressure.
5. If the stand still slips, check for any visible damage, cracks, or excessive wear in the joints or locking mechanism.
6. If the issue persists after tightening and cleaning, contact TechMart Support with your product details for further assistance or replacement options."
SSD Not Detected in BIOS or Windows,SKU260,The DataForge NVMe X5 SSD is not visible in the system BIOS or Windows Disk Management. Operating system installation cannot detect the drive. No storage is shown when attempting to create or format partitions.,"1. Power off your computer and disconnect it from the power source.
2. Open your system case and ensure the SSD is firmly seated in the M.2 PCIe slot. Remove and re-insert if necessary.
3. Check for any visible damage or debris on the SSD and the M.2 slot.
4. Ensure your motherboard supports PCIe Gen4 x4 NVMe drives and that the M.2 slot is enabled in BIOS.
5. Power on the system and enter BIOS/UEFI settings (usually by pressing DEL, F2, or ESC on boot).
6. Look for NVMe or M.2 device listings under 'Storage' or 'Boot' options. If not detected, update your motherboard BIOS to the latest version from the manufacturer website.
7. If detected in BIOS but not in Windows, boot into Windows and open Disk Management (Win+X > Disk Management), then scan for new disks. If uninitialized, initialize and format the SSD.
8. If the SSD is still not detected, try installing it in a different compatible system to isolate if the issue is with the drive or motherboard.
9. If the drive remains undetected after all steps, contact TechMart support for further assistance or warranty replacement."
SSD Not Detected in BIOS or Operating System,SKU216,"After installing the DataForge NVMe SSD 2TB, the drive does not appear in the system BIOS or in the operating system's disk management tools. The computer may boot normally from another drive, but the SSD is missing from all storage lists. No activity LED is present on the SSD.","1. Power off your PC completely and disconnect the power cable.
2. Open your PC case and ensure the DataForge NVMe SSD 2TB is firmly seated in the M.2 slot. Remove and re-insert the SSD if necessary.
3. Check that the M.2 slot supports PCIe Gen4 x4 NVMe drives (consult your motherboard manual).
4. Boot into the BIOS/UEFI setup. Look for the SSD under storage or NVMe device lists. If not present, check if the M.2 slot is enabled in BIOS settings.
5. Update your motherboard's BIOS/UEFI firmware to the latest version from the manufacturer's website, then check for the SSD again.
6. Boot into your operating system and open Disk Management (Windows) or Disk Utility (Mac/Linux). Look for unallocated or uninitialized drives.
7. If the SSD is still not detected, test it in a different compatible system, if available.
8. If the SSD is detected in another system, the issue may be with your motherboard or BIOS settings. If not, the SSD may be defective—contact TechMart support for warranty service."
Mouse Pointer Lag or Stuttering in Wireless Mode,SKU035,"When using the SwiftPoint MX7 Wireless Mouse, the cursor movement appears delayed, skips, or stutters across the screen. This may only occur when the mouse is connected wirelessly. Wired connection works smoothly. The mouse LED may remain solid or blink slowly, and other USB devices work normally.","1. Make sure the mouse is fully charged. Connect it to your computer with the provided USB-C cable for at least 15 minutes, then try using it wirelessly again.
2. Ensure the wireless USB receiver is plugged directly into your computer's USB port. Avoid using USB hubs or extension cables, as these can introduce interference.
3. Move the wireless receiver to a different USB port, preferably on the opposite side of your computer from other wireless devices (like Wi-Fi adapters or Bluetooth dongles).
4. Check for sources of interference near your workspace, such as other wireless devices, metal objects, or microwaves. Try moving the mouse and receiver away from these sources.
5. Install or update the SwiftPoint MX7 drivers and firmware from the official website to ensure optimal wireless performance.
6. If the issue persists, test the mouse on a different computer. If the lag or stuttering continues, contact TechMart support for further assistance or warranty service."
Speaker Not Responding to Voice Commands,SKU188,"When trying to use Alexa or Google Assistant voice commands, the PulseSound Mini Smart Speaker does not respond. The LED ring does not light up when saying the wake word, and the assistant does not reply or perform any actions. Music playback and Bluetooth/Aux-in functions work normally.","1. Ensure the speaker is powered on and has sufficient battery. Charge if needed.
2. Confirm the speaker is connected to Wi-Fi (required for voice assistant functionality). Open the companion app and verify network status.
3. Check if the microphone mute button (usually marked with a mic symbol) is enabled. If so, press it to unmute the microphones. The LED ring should indicate status change.
4. Restart the speaker by turning it off, waiting 10 seconds, then turning it back on.
5. In the companion app, verify that voice assistant setup is complete and that you've selected either Alexa or Google Assistant as your preferred assistant.
6. Try using the wake word again ('Alexa' or 'Hey Google') near the speaker. Speak clearly and ensure you're within 2 meters.
7. If still unresponsive, reset the speaker to factory settings (hold the reset button for 10 seconds—refer to user manual for exact location). Reconfigure Wi-Fi and voice assistant setup.
8. If the issue persists, contact TechMart support with details of troubleshooting steps taken."
TabLink Active Stylus Not Responding on Display,SKU170,"The TabLink Active Stylus does not draw or select items on the TabLink S10 tablet screen. Touch input with fingers works normally, but the stylus produces no response. The stylus LED may be off or blinking.","1. Ensure the stylus is charged: Connect the TabLink Active Stylus to a USB-C charger for at least 30 minutes, then try using it again.
2. Confirm Bluetooth pairing: Go to Settings > Bluetooth on your TabLink S10 and check if 'TabLink Active Stylus' appears as a connected device. If not, hold the stylus pairing button for 3 seconds to enter pairing mode and reconnect.
3. Clean the screen: Gently wipe the display with a microfiber cloth to remove any dirt or residue that could affect stylus detection.
4. Remove and reattach the Magnetic Keyboard Cover (if attached), as it may interfere with the stylus sensor area.
5. Restart the tablet: Press and hold the power button, then select Restart. After reboot, test the stylus again.
6. Test the stylus on another compatible device (if available) to rule out hardware failure.
7. If the stylus still does not respond, contact TechMart support for further assistance or warranty service."
SSD Not Detected in BIOS/UEFI,SKU063,"The DataStream NVMe SSD 2TB is not listed under storage devices in BIOS/UEFI settings. The operating system installer or disk management tools do not show the SSD. The system boots normally if another drive is present, but the SSD remains invisible.","1. Power off your computer and disconnect it from power.
2. Open your PC case and ensure the DataStream NVMe SSD is firmly seated in the M.2 slot.
3. Check for any dust or debris in the M.2 slot and gently clean if necessary.
4. If your motherboard supports multiple M.2 slots, try moving the SSD to a different slot.
5. Power on the system and enter BIOS/UEFI (usually by pressing DEL, F2, or a similar key during startup).
6. In BIOS/UEFI, verify if the SSD is listed under storage or NVMe devices.
7. If not detected, check if 'PCIe/NVMe' mode is enabled for the M.2 slot (see motherboard manual for detailed settings).
8. Update your motherboard BIOS/UEFI firmware to the latest version from the manufacturer's website.
9. If the SSD still does not appear, test it in another compatible system (if available) to rule out a hardware defect.
10. If the SSD is still not detected, contact TechMart support for warranty service or replacement."
Laptop Riser Joints Slipping Under Weight,SKU299,"The FlexiStand Pro does not hold its set height or angle and gradually collapses or shifts position when a laptop is placed on it, even if the laptop is under the 8 kg weight limit. Users may notice the riser slowly lowering or tilting during use.","1. Remove your laptop from the riser to avoid further slippage or damage.
2. Inspect all adjustment joints and locking mechanisms for visible debris, dust, or signs of wear.
3. Ensure all locking knobs and levers are fully tightened. Some joints may require a firm twist or click to engage.
4. Wipe the joints and contact surfaces with a clean, dry cloth to remove any dust or residue that may interfere with grip.
5. Check for any foreign objects or obstructions stuck in the adjustment tracks or hinges, and carefully remove them.
6. Re-adjust the riser to your desired height and angle, then tighten all locks securely. Test stability by gently pressing down on the stand before placing your laptop back on it.
7. Place your laptop back on the riser and observe for any slippage. If the issue persists, remove the laptop and repeat tightening. If the riser continues to slip, contact TechMart support for possible replacement or repair."
No Signal Detected on HDMI 2.1 Port,SKU205,"When connecting a device to the PixelEdge 32Q Curved Monitor using the HDMI 2.1 port, the screen remains black and displays a 'No Signal' message. The monitor’s power LED is on, and other ports (such as DisplayPort or USB-C) may work normally.","1. Ensure the HDMI cable is firmly connected to both the monitor and the source device (PC, console, etc.).
2. Verify that the source device is powered on and not in sleep mode.
3. Try a different HDMI cable rated for HDMI 2.0 or higher to rule out a faulty or incompatible cable.
4. Check that the monitor’s input source is set to HDMI (press the monitor's input/source button and select HDMI 2.1).
5. Connect the source device to another monitor or TV to confirm the device outputs a signal correctly.
6. If available, test the monitor’s HDMI port with another device to determine if the issue is with the monitor or the source device.
7. Update the graphics drivers on your source device to ensure compatibility with high refresh rate monitors.
8. If using a gaming console, ensure its video output settings are within the supported resolution (2560x1440) and refresh rate (up to 165Hz).
9. Power cycle both the monitor and the source device: turn them off, unplug them for 30 seconds, then reconnect and power on.
10. If the problem persists, contact TechMart support with your troubleshooting results."
EchoPulse S7 does not respond to voice commands,SKU180,"The smart speaker does not react when saying 'Alexa' or 'Hey Google'. The LED ring does not light up when prompted, but music playback via Bluetooth or AUX works as expected. Wi-Fi appears to be connected.","1. Check if the microphone mute button on the speaker is enabled (look for a red LED indicator). If so, press it once to unmute the microphone.
2. Ensure the speaker is within range of your Wi-Fi router and that your internet connection is active. Try streaming music via Wi-Fi to confirm connectivity.
3. Restart the EchoPulse S7 by holding the power button for 5 seconds, then power it on again.
4. Open the EchoPulse app on your smartphone and check for any firmware updates. Install updates if available.
5. In the app, verify that the assistant (Alexa or Google Assistant) is enabled and properly set up.
6. If the issue persists, perform a factory reset by holding both the volume up and play/pause buttons together for 10 seconds until the LED ring flashes white. Set up the speaker again via the app.
7. If none of these steps resolve the issue, contact TechMart support for further assistance."
ZenithBook 15 Evo Not Charging When Plugged In via Thunderbolt 4,SKU050,"When the laptop is connected to the charger via either Thunderbolt 4 USB-C port, the battery icon shows 'Plugged in, not charging.' The charging LED does not turn on. The laptop only charges intermittently or not at all, even when using the original charger.","1. Ensure you are using the original ZenithBook 15 Evo charger and USB-C cable that came with your laptop. Third-party chargers may not provide sufficient power.
2. Try plugging the charger into the other Thunderbolt 4 USB-C port to rule out a port-specific issue.
3. Inspect both USB-C ports and the charger cable for dust, debris, or visible damage. Use compressed air to clean the ports if needed.
4. Disconnect the charger from both the laptop and wall outlet. Wait 30 seconds, then reconnect and check if charging begins.
5. With the laptop powered off, connect the charger and observe if the charging LED turns on. If it does, power on the laptop and check if Windows now recognizes charging.
6. In Windows, right-click the battery icon, select 'Power & sleep settings,' then click 'Additional power settings.' Ensure no battery saver or charging limit settings are enabled.
7. Open Device Manager, expand 'Batteries,' right-click 'Microsoft ACPI-Compliant Control Method Battery,' and select 'Uninstall device.' Restart the laptop; the driver will reinstall automatically.
8. If the issue persists, try charging another USB-C device with the charger to confirm the charger is working. If other devices do not charge, the charger may be faulty.
9. If none of the above steps resolve the issue, contact TechMart support for further assistance or potential hardware service."
Active Stylus Pen Not Responding on TabStream X10,SKU123,"When attempting to write or draw on the TabStream X10 display using the included Active Stylus Pen, no lines or input appear on the screen. The tablet responds to finger touch, but the stylus has no effect. The stylus LED (if present) does not light up or blink when in use.","1. Ensure the stylus battery is charged. If the stylus uses a replaceable battery, install a fresh battery. If rechargeable, charge it for at least 30 minutes.
2. Remove any screen protector or thick case that may interfere with stylus input and test again.
3. Restart the TabStream X10 by holding the power button and selecting 'Restart.'
4. Open the tablet's Settings > Connected Devices > Stylus, and check if the stylus is recognized. If not, tap 'Add New Stylus' and follow on-screen instructions.
5. Test the stylus on another compatible device (if available) to determine if the issue is with the stylus or tablet.
6. If the stylus still does not work, perform a factory reset (after backing up important data): Settings > System > Reset > Factory Data Reset.
7. If none of these steps resolve the issue, contact TechMart support for repair or replacement options."
Keyboard Not Detected in 2.4GHz Wireless Mode,SKU257,"When switching the KeySync Wireless Pro Keyboard to 2.4GHz mode, key presses do not register on the computer. The keyboard's status LED flashes blue three times when a key is pressed, and the included USB dongle does not light up or appear in the device list. The keyboard works normally in Bluetooth and wired (USB-C) modes.","1. Ensure the USB dongle is securely plugged into a working USB port on your computer. Try a different port if available.
2. Move the keyboard closer to the dongle to eliminate interference or distance issues.
3. Toggle the keyboard power switch off, wait 5 seconds, then switch it back on.
4. Make sure the keyboard is set to 2.4GHz mode (check the mode switch/button per the user manual).
5. If the dongle still does not light up, restart your computer to refresh USB devices.
6. Re-pair the keyboard to the dongle: Hold the 'Fn' + 'P' keys together for 5 seconds until the LED blinks rapidly, then unplug and reinsert the dongle.
7. If the issue persists, test the keyboard and dongle on another computer to rule out PC-specific issues.
8. If none of these steps work, contact TechMart support for further assistance or a replacement dongle."
Mouse Not Charging When Connected via USB-C,SKU114,"The GlideMaster MX Wireless Mouse does not charge when connected to a USB-C cable. The battery LED does not illuminate, and the mouse remains low on battery or turns off after a short period. The mouse may still function in wired mode, but the battery percentage does not increase.","1. Inspect the USB-C cable and port for visible damage or debris; try a different cable if available.
2. Connect the mouse directly to a different USB port on your computer or to a wall charger rated at least 5V/1A.
3. Confirm the cable is inserted fully and securely into both the mouse and the power source.
4. Check if the battery LED indicator lights up or blinks; on this model, a solid amber LED means charging, while no light may indicate a problem.
5. If the mouse works in wired mode but does not charge, perform a reset: unplug the cable, turn off the mouse using the power switch, wait 10 seconds, then turn it on and reconnect the cable.
6. Try charging the mouse for at least 30 minutes uninterrupted. If the battery still doesn't charge, test with another compatible USB-C charger.
7. If the issue persists, contact TechMart Support for repair or replacement options."
No Signal Detected on DisplayPort Connection,SKU240,"When connecting the PixelCraft 32Q Curved Monitor to a PC using the DisplayPort cable, the monitor shows 'No Signal' on screen. The power LED is on, but the display remains black. The issue persists even after restarting the computer.","1. Ensure both ends of the DisplayPort cable are securely connected to the monitor and the PC's graphics card.
2. Verify that the correct input source (DisplayPort) is selected on the monitor. Press the Input or Source button to cycle through inputs until DisplayPort is selected.
3. Test the DisplayPort cable with another device or use a different DisplayPort cable to rule out a faulty cable.
4. Check that your graphics card drivers are up to date. Update them via your PC manufacturer's website or graphics card vendor.
5. If you are using an adapter (e.g., DisplayPort to HDMI), try a direct DisplayPort-to-DisplayPort connection if possible.
6. Power cycle both the monitor and your PC: turn both off, unplug them from power for 30 seconds, then reconnect and power on.
7. Connect the monitor to another computer via DisplayPort to determine if the issue is with the monitor or the PC.
8. If the monitor works with other devices but not your PC, check your PC's display settings to ensure the monitor is detected and enabled as an output display.
9. If the problem remains unresolved, contact TechMart Support for further assistance."
5GHz WiFi Network Not Visible on Devices,SKU307,"Users are unable to see or connect to the router's 5GHz WiFi network. The 2.4GHz network appears and functions normally, but laptops, smartphones, and other devices do not show the 5GHz SSID in their available networks list. Wired connections and router admin access work as expected.","1. Ensure your devices support 5GHz WiFi. Some older devices only support 2.4GHz networks.
2. Log in to the NetPulse AX6000 router's web interface (typically http://192.168.1.1) using your admin credentials.
3. Navigate to the 'Wireless Settings' section and confirm that the 5GHz band is enabled. If it is disabled, enable it and save your changes.
4. Check the 5GHz SSID name. If it is hidden or set to 'Invisible', change it to 'Visible' and save your settings.
5. Change the 5GHz wireless channel to a lower channel (e.g., 36, 40, 44, or 48) as some devices and regions do not support higher channels.
6. Reboot the router and the affected devices.
7. Move closer to the router, as 5GHz signals have a shorter range than 2.4GHz. See if the network appears.
8. If the issue persists, perform a factory reset on the router (press and hold the reset button for 10 seconds), then reconfigure your wireless settings.
9. If none of these steps resolve the issue, contact TechMart support for further assistance."
Mouse Pointer Lag or Stuttering During Use,SKU102,"While using the GlideTech Pulse X Wireless Mouse, the on-screen pointer moves inconsistently, lags behind hand movement, or appears to stutter. This may occur even with a fully charged battery and when within normal wireless range. The issue can be intermittent or constant and is most noticeable during quick or precise movements.","1. Ensure there are no physical obstructions or electronic devices (such as Wi-Fi routers or USB 3.0 hubs) between the mouse and the wireless receiver that could cause interference.
2. Plug the wireless USB dongle directly into a USB port on your computer, avoiding USB hubs or extension cables.
3. If available, try a different USB port, preferably on the opposite side of the computer from any potential sources of interference.
4. Check that the mouse battery is sufficiently charged. Connect the mouse via the supplied USB-C cable and allow it to charge for at least 30 minutes, then test again.
5. Make sure your mouse is being used on a clean, non-reflective, and uniform surface. Highly reflective or transparent surfaces can interfere with the PixArt PAW3370 optical sensor.
6. If the issue persists, install or update the GlideTech Pulse X software/drivers from the official website, then restart your computer.
7. Test the mouse on a different computer to determine if the problem is specific to your system or environment.
8. If none of these steps resolve the issue, contact TechMart Support for further assistance or warranty evaluation."
Cannot Print via Wi-Fi 6 Network,SKU158,"When attempting to print wirelessly, the PrintLogic X500 printer does not appear in the list of available printers on your device. Print jobs sent over Wi-Fi are not received by the printer. The printer's Wi-Fi indicator may be blinking or solid red.","1. Ensure your printer is powered on and the Wi-Fi indicator is lit.
2. Verify that your Wi-Fi network is operating normally and that other devices can connect to it.
3. Confirm that the printer and your computer or mobile device are connected to the same Wi-Fi network (SSID).
4. On the printer, navigate to the network settings menu and select 'Wi-Fi Setup' to reconnect to your wireless network. Re-enter the Wi-Fi password if prompted.
5. Restart both your printer and your router.
6. On your computer or mobile device, remove the PrintLogic X500 from your list of printers, then add it again using the 'Add Printer' function.
7. Ensure the latest PrintLogic X500 drivers/software are installed on your device. Download updates from the official TechMart support site if necessary.
8. If printing still fails, try connecting via USB-C or Ethernet to confirm if the issue is specific to Wi-Fi connectivity.
9. If the Wi-Fi indicator remains red after setup, perform a factory reset on the printer (see user manual), then repeat the Wi-Fi setup process.
10. If the problem persists, contact TechMart Support for further assistance."
Active Stylus Not Responding on TabFlow X10,SKU228,"The Active Stylus does not interact with the tablet screen. Touch input with fingers works normally, but the stylus does not register taps, writing, or drawing. The stylus LED (if present) does not light up or blinks intermittently.","1. Ensure the stylus is charged. If your stylus uses a battery or is rechargeable, connect it to a charger for at least 30 minutes.
2. Verify that the stylus tip is securely attached and not damaged. Replace the tip if it appears worn or loose.
3. Remove any screen protector or case that may interfere with stylus detection.
4. Restart the TabFlow X10 by holding the power button for 10 seconds, then turn it back on.
5. Go to Settings > Bluetooth and check if the stylus appears as a connected device (if your stylus uses Bluetooth). If not, pair it again following the stylus manual instructions.
6. Open the pre-installed Notes app and try using the stylus. If it still does not respond, test the stylus on another compatible device, if available.
7. If the stylus works on another device or after replacing the tip, your TabFlow X10 may need a software update. Go to Settings > System > Software Update and install any available updates.
8. If the problem persists, contact TechMart support for further assistance or to request a replacement stylus."
"CoreStation X5 Desktop Fails to Boot (Fans Spin, No Display)",SKU294,"When the power button is pressed, the fans and LED lights turn on, but there is no image on the monitor. The monitor may show 'No Signal'. There are no BIOS beeps or error codes. The system does not proceed to Windows login.","1. Check that the monitor is powered on and the video cable is securely connected to the NVIDIA GeForce RTX 4060 graphics card (not the motherboard video ports).
2. Try a different video cable and/or port on the graphics card (e.g., switch from HDMI to DisplayPort).
3. Ensure the monitor is set to the correct input source.
4. Power off the desktop and unplug it from the wall. Hold the power button for 5 seconds, then reconnect and try again.
5. Open the case (if comfortable and warranty allows):
   a. Reseat the RAM sticks by removing and firmly reinserting them into their slots.
   b. Ensure the graphics card is securely seated in the PCIe slot and its power connector is plugged in.
6. Disconnect all USB devices except keyboard and mouse, then attempt to boot again.
7. If available, try a different monitor to rule out display issues.
8. If the issue persists, contact TechMart support for further assistance or possible hardware diagnostics."
Printer Not Detected on Wi-Fi Network,SKU282,The PrintEase Pro 410 is not appearing in the list of available printers on your computer or mobile device. Attempts to print wirelessly fail with 'Printer not found' or 'Offline' errors. The Wi-Fi LED on the printer may be blinking or off.,"1. Check that the printer is powered on and the Wi-Fi LED is solid (not blinking). If it's off or blinking, continue to the next step.
2. On the printer's control panel, navigate to Settings > Network > Wireless Setup Wizard. Follow the prompts to reconnect the printer to your Wi-Fi network.
3. Ensure your computer or mobile device is connected to the same Wi-Fi network as the printer.
4. Restart your router, wait 2 minutes, and then restart the printer.
5. On your computer, remove the PrintEase Pro 410 from the list of installed printers, then add it again via your operating system's printer setup utility.
6. If using AirPrint or Google Cloud Print, verify those services are enabled on the printer and supported on your device.
7. If the problem persists, try connecting the printer via USB to see if it's recognized. If it is, update the printer's firmware from the manufacturer website, then retry wireless setup.
8. If none of these steps resolve the issue, contact TechMart support for advanced assistance."
No Sound from Monitor Audio Out Port,SKU312,"When headphones or external speakers are connected to the monitor's Audio Out port, no sound is heard. The monitor displays video correctly, and the computer's volume is up, but audio is not transmitted through the monitor's output. Connecting headphones or speakers directly to the PC works as expected.","1. Ensure headphones or speakers are securely plugged into the monitor's Audio Out port (not the PC). 
2. Verify that the video cable in use (HDMI, DisplayPort, or USB-C) supports audio transmission. Note: DisplayPort and HDMI support audio; some USB-C sources may not. 
3. On your PC, right-click the sound/volume icon in the system tray and select 'Playback devices' (Windows) or 'Sound Output' (Mac). 
4. Set the monitor (e.g., 'PixelFusion 32 QHD' or similar) as the default audio output device. 
5. Play audio and check for sound through the monitor's Audio Out port. 
6. If still no sound, try using a different audio-capable cable (e.g., switch from HDMI to DisplayPort, or try another HDMI cable). 
7. Test with another device (e.g., a different computer or game console) to rule out a PC configuration issue. 
8. If the issue persists, unplug all cables and power, wait 60 seconds, then reconnect and power on. 
9. If there is still no audio, contact TechMart support for further assistance."
No Signal Detected via USB-C Connection,SKU215,"When connecting a laptop or device to the PixelCraft 32Q HDR Monitor using the USB-C port, the screen remains black and displays 'No Signal' even though the device is charging via USB-C. Other input sources (HDMI, DisplayPort) work correctly.","1. Confirm that your device supports video output over USB-C (DisplayPort Alt Mode). Charging alone does not guarantee video support.
2. Ensure the USB-C cable in use supports both power delivery and video data transfer (check cable specs or try a different cable, preferably the one supplied with the monitor).
3. On your monitor, press the input/source button and select 'USB-C' as the active input.
4. On your device, verify that extended/mirrored display output is enabled in display settings. For Windows: right-click desktop > Display Settings > Detect/Identify. For macOS: Apple menu > System Settings > Displays.
5. Disconnect and reconnect the USB-C cable at both ends. Restart both your device and the monitor.
6. If possible, test with another USB-C device that is known to support video output.
7. If the issue persists, update your device's graphics drivers and firmware. Also, check for monitor firmware updates on the TechMart support site.
8. If none of the above steps resolve the issue, contact TechMart support for further assistance."
Laptop Not Charging When Connected to USB-C Power Adapter,SKU177,"When the ZenithBook 15 Evo is plugged into the USB-C power adapter, the battery icon in Windows shows 'Plugged in, not charging' or does not display the charging symbol. The laptop may eventually run out of battery even though it is connected to power. The power adapter's LED is on, and other USB-C devices (like storage drives) are recognized.","1. Ensure you are using the original 100W USB-C power adapter and cable provided with your ZenithBook 15 Evo. Third-party chargers may not supply sufficient power.
2. Check that the USB-C cable is securely connected to both the adapter and the laptop's Thunderbolt 4 port. Try both USB-C ports on your laptop.
3. Inspect the USB-C port and cable ends for debris or damage. Remove any lint or dirt gently with a dry brush or compressed air.
4. Unplug the adapter from the wall and the laptop, wait 30 seconds, then reconnect both ends firmly.
5. If possible, test the power adapter and cable with another compatible device, or test your laptop with a known-working USB-C charger.
6. Restart your laptop. Sometimes, charging issues are resolved after a reboot.
7. Update your laptop's BIOS and chipset drivers:
  a. Visit https://www.techmart.com/support/zenithbook15evo
  b. Download and install the latest BIOS and Intel chipset drivers.
8. If the issue persists, perform a battery reset:
  a. Shut down the laptop.
  b. Hold down the power button for 15 seconds.
  c. Wait 1 minute, then connect the charger and power on the laptop.
9. If the laptop still does not charge, contact TechMart support for further assistance or to arrange a hardware inspection."
Tabio Pen 2 Not Responding on Slate 11 Pro Display,SKU083,"The Tabio Pen 2 stylus does not write, draw, or interact with the Slate 11 Pro screen. The tablet otherwise responds to touch with fingers. No marks appear when writing, and there is no on-screen notification when the pen is brought close to the display.","1. Ensure the Tabio Pen 2 is fully charged, if applicable. Some models have a rechargeable battery—connect the pen to a USB-C charger for at least 15 minutes.
2. Remove any third-party screen protectors or covers from the Slate 11 Pro, as some thick or metallic protectors can interfere with pen input.
3. Restart the Slate 11 Pro by holding the power button and selecting 'Restart'.
4. Open Settings > Connected Devices > Tabio Pen and check if the pen is listed or connected. If not, tap 'Add Device' and follow prompts.
5. Try the Tabio Pen 2 on a different area of the screen. If only part of the display is unresponsive, check for physical damage.
6. Test the pen with another compatible Tabio device, if available, to rule out pen hardware failure.
7. If the pen and tablet still do not interact, go to Settings > System > System Update and check for any available firmware or OS updates. Install and restart.
8. If the issue persists, contact TechMart support for further assistance or to arrange a warranty replacement."
SwiftPoint MX2 Mouse Not Charging or Powering On,SKU040,"The mouse does not turn on when the power button is pressed. No LED lights are visible. When connected to the charger, the charging LED does not illuminate and the mouse remains unresponsive.","1. Ensure the charging cable is securely connected to both the mouse and a working USB port or charger.
2. Try using a different USB cable and charging port to rule out cable or port issues.
3. Inspect the charging contacts on the mouse and cable for dust or debris—clean gently with a dry cloth if needed.
4. Leave the mouse connected to the charger for at least 30 minutes to allow for a deep charge if the battery was fully depleted.
5. After charging, press and hold the power button for 3 seconds to turn the mouse on.
6. If the mouse still does not power on, perform a reset by holding both the left and right mouse buttons along with the DPI button for 10 seconds.
7. If the issue persists, the battery may be faulty. Please contact TechMart support for further assistance or warranty service."
